"Item"	"Subject"	"Block"	"Stimuli"	"Context"	"Correct"	"Response"	"RT"	"RT_log"	"Lg_Heard"	"Main_Context"	"Group"
"161"	"A161"	"BE_03"	"Block3"	"Stim01"	"CSES"	0	"ML"	273	2.436162647	"Eng"	"CS"	"nonsw"
"162"	"A162"	"BE_06"	"Block3"	"Stim27"	"CSES"	1	"CS"	359	2.555094449	"Eng"	"CS"	"supsw"
"163"	"A163"	"BE_03"	"Block3"	"Stim17"	"CSES"	0	"ML"	1385	3.141449773	"Eng"	"CS"	"nonsw"
"164"	"A164"	"BE_06"	"Block3"	"Stim28"	"CSES"	1	"CS"	497	2.696356389	"Eng"	"CS"	"supsw"
"165"	"A165"	"BE_03"	"Block3"	"Stim02"	"CSES"	0	"ML"	2445	3.388278863	"Eng"	"CS"	"nonsw"
"166"	"A166"	"BE_06"	"Block3"	"Stim29"	"CSES"	1	"CS"	230	2.361727836	"Eng"	"CS"	"supsw"
"167"	"A167"	"BE_03"	"Block3"	"Stim21"	"CSES"	0	"ML"	1856	3.268577972	"Eng"	"CS"	"nonsw"
"168"	"A168"	"BE_06"	"Block3"	"Stim03"	"CSES"	1	"CS"	307	2.487138375	"Eng"	"CS"	"supsw"
"169"	"A169"	"BE_03"	"Block3"	"Stim26"	"CSES"	0	"ML"	347	2.540329475	"Eng"	"CS"	"nonsw"
"170"	"A170"	"BE_06"	"Block3"	"Stim32"	"CSES"	1	"CS"	1088	3.036628895	"Eng"	"CS"	"supsw"
"171"	"A171"	"BE_03"	"Block3"	"Stim27"	"CSES"	1	"CS"	1624	3.210586025	"Eng"	"CS"	"nonsw"
"172"	"A172"	"BE_06"	"Block3"	"Stim01"	"CSES"	0	"ML"	390	2.591064607	"Eng"	"CS"	"supsw"
"173"	"A173"	"BE_03"	"Block3"	"Stim28"	"CSES"	1	"CS"	808	2.907411361	"Eng"	"CS"	"nonsw"
"174"	"A174"	"BE_06"	"Block3"	"Stim17"	"CSES"	0	"ML"	326	2.5132176	"Eng"	"CS"	"supsw"
"175"	"A175"	"BE_03"	"Block3"	"Stim29"	"CSES"	1	"CS"	1152	3.061452479	"Eng"	"CS"	"nonsw"
"176"	"A176"	"BE_06"	"Block3"	"Stim02"	"CSES"	0	"ML"	768	2.88536122	"Eng"	"CS"	"supsw"
"177"	"A177"	"BE_03"	"Block3"	"Stim03"	"CSES"	0	"ML"	300	2.477121255	"Eng"	"CS"	"nonsw"
"178"	"A178"	"BE_06"	"Block3"	"Stim21"	"CSES"	0	"ML"	787	2.895974732	"Eng"	"CS"	"supsw"
"179"	"A179"	"BE_03"	"Block3"	"Stim32"	"CSES"	0	"ML"	938	2.972202838	"Eng"	"CS"	"nonsw"
"180"	"A180"	"BE_06"	"Block3"	"Stim26"	"CSES"	0	"ML"	3388	3.529943402	"Eng"	"CS"	"supsw"
"181"	"A181"	"BE_03"	"Block3"	"Stim13"	"CSSE"	0	"ML"	1231	3.090258053	"Sp"	"CS"	"nonsw"
