Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context
A2688	BE_86 	Block4	Stim28	CSES	1	CS	312	Eng	CS
A2689	BE_86 	Block4	Stim29	CSES	1	CS	339	Eng	CS
A2690	BE_86 	Block4	Stim03	CSES	1	CS	847	Eng	CS
A2721	BE_87 	Block1	Stim01	CSES	0	ML	4406	Eng	CS
A2722	BE_87 	Block1	Stim17	CSES	0	ML	1524	Eng	CS
A2723	BE_87 	Block1	Stim02	CSES	0	ML	776	Eng	CS
A2724	BE_87 	Block1	Stim21	CSES	0	ML	1718	Eng	CS
A2725	BE_87 	Block1	Stim28	CSES	0	ML	1643	Eng	CS
A2726	BE_87 	Block1	Stim29	CSES	0	ML	3311	Eng	CS
A2727	BE_87 	Block1	Stim32	CSES	0	ML	4304	Eng	CS
A2728	BE_87 	Block1	Stim26	CSES	1	CS	3205	Eng	CS
A2729	BE_87 	Block1	Stim27	CSES	1	CS	1933	Eng	CS
A2730	BE_87 	Block1	Stim03	CSES	1	CS	16411	Eng	CS
A2761	BE_87 	Block2	Stim01	CSES	0	ML	1200	Eng	CS
A2762	BE_87 	Block2	Stim17	CSES	0	ML	766	Eng	CS
A2763	BE_87 	Block2	Stim02	CSES	0	ML	633	Eng	CS
A2764	BE_87 	Block2	Stim26	CSES	0	ML	380	Eng	CS
A2765	BE_87 	Block2	Stim27	CSES	0	ML	439	Eng	CS
A2766	BE_87 	Block2	Stim28	CSES	0	ML	1456	Eng	CS
A2767	BE_87 	Block2	Stim29	CSES	0	ML	299	Eng	CS
A2768	BE_87 	Block2	Stim32	CSES	0	ML	369	Eng	CS
A2769	BE_87 	Block2	Stim21	CSES	1	CS	2986	Eng	CS
A2770	BE_87 	Block2	Stim03	CSES	1	CS	1388	Eng	CS
A2801	BE_87 	Block3	Stim01	CSES	0	ML	330	Eng	CS
A2802	BE_87 	Block3	Stim17	CSES	0	ML	5517	Eng	CS
A2803	BE_87 	Block3	Stim26	CSES	0	ML	1405	Eng	CS
A2804	BE_87 	Block3	Stim27	CSES	0	ML	362	Eng	CS
A2805	BE_87 	Block3	Stim28	CSES	0	ML	366	Eng	CS
A2806	BE_87 	Block3	Stim29	CSES	0	ML	389	Eng	CS
A2807	BE_87 	Block3	Stim32	CSES	0	ML	324	Eng	CS
A2808	BE_87 	Block3	Stim02	CSES	1	CS	611	Eng	CS
A2809	BE_87 	Block3	Stim21	CSES	1	CS	1057	Eng	CS
A281	BE_07	Block4	Stim17	CSES	1	CS	1900	Eng	CS
A2810	BE_87 	Block3	Stim03	CSES	1	CS	3438	Eng	CS
A282	BE_07	Block4	Stim02	CSES	1	CS	1193	Eng	CS
A283	BE_07	Block4	Stim21	CSES	1	CS	1292	Eng	CS
A284	BE_07	Block4	Stim26	CSES	1	CS	931	Eng	CS
A2841	BE_87 	Block4	Stim27	CSES	0	ML	409	Eng	CS
A2842	BE_87 	Block4	Stim28	CSES	0	ML	4147	Eng	CS
A2843	BE_87 	Block4	Stim29	CSES	0	ML	396	Eng	CS
A2844	BE_87 	Block4	Stim01	CSES	1	CS	1443	Eng	CS
A2845	BE_87 	Block4	Stim17	CSES	1	CS	2044	Eng	CS
A2846	BE_87 	Block4	Stim02	CSES	1	CS	4436	Eng	CS
A2847	BE_87 	Block4	Stim21	CSES	1	CS	5070	Eng	CS
A2848	BE_87 	Block4	Stim26	CSES	1	CS	5263	Eng	CS
A2849	BE_87 	Block4	Stim03	CSES	1	CS	964	Eng	CS
A285	BE_07	Block4	Stim27	CSES	1	CS	1033	Eng	CS
A2850	BE_87 	Block4	Stim32	CSES	1	CS	2833	Eng	CS
A286	BE_07	Block4	Stim28	CSES	1	CS	464	Eng	CS
A287	BE_07	Block4	Stim29	CSES	1	CS	651	Eng	CS
A288	BE_07	Block4	Stim03	CSES	1	CS	1461	Eng	CS
A289	BE_07	Block4	Stim32	CSES	1	CS	981	Eng	CS
A290	BE_07	Block4	Stim01	CSES	0	ML	286	Eng	CS
A3	BE_06	Block1	Stim27	CSES	1	CS	2401	Eng	CS
A321	BE_09	Block1	Stim01	CSES	1	CS	3238	Eng	CS
A322	BE_09	Block1	Stim21	CSES	1	CS	1569	Eng	CS
A323	BE_09	Block1	Stim26	CSES	1	CS	1956	Eng	CS
A324	BE_09	Block1	Stim27	CSES	1	CS	1567	Eng	CS
A325	BE_09	Block1	Stim28	CSES	1	CS	4530	Eng	CS
A326	BE_09	Block1	Stim32	CSES	1	CS	2465	Eng	CS
A327	BE_09	Block1	Stim17	CSES	0	ML	5186	Eng	CS
A328	BE_09	Block1	Stim02	CSES	0	ML	2781	Eng	CS
A329	BE_09	Block1	Stim29	CSES	0	ML	2192	Eng	CS
A330	BE_09	Block1	Stim03	CSES	0	ML	4897	Eng	CS
A361	BE_09	Block2	Stim01	CSES	1	CS	1286	Eng	CS
A362	BE_09	Block2	Stim26	CSES	1	CS	6235	Eng	CS
A363	BE_09	Block2	Stim27	CSES	1	CS	1275	Eng	CS
