Item	Subject	Block	Stimuli	Context	Response	Key	Correct	Error	RT	Lg_Heard	Main_Context
A290	BE_04	Block4	Stim32	CSES	English	z	Spanish	ML	946	Eng	CS
A321	BE_05	Block1	Stim01	CSES	English	z	Spanish	ML	3496	Eng	CS
A322	BE_05	Block1	Stim17	CSES	English	z	Spanish	ML	381	Eng	CS
A323	BE_05	Block1	Stim02	CSES	English	z	Spanish	ML	2060	Eng	CS
A324	BE_05	Block1	Stim21	CSES	English	z	Spanish	ML	4137	Eng	CS
A325	BE_05	Block1	Stim26	CSES	English	z	Spanish	ML	1496	Eng	CS
A326	BE_05	Block1	Stim27	CSES	English	z	Spanish	ML	495	Eng	CS
A327	BE_05	Block1	Stim28	CSES	English	z	Spanish	ML	724	Eng	CS
A328	BE_05	Block1	Stim29	CSES	English	z	Spanish	ML	797	Eng	CS
A329	BE_05	Block1	Stim03	CSES	English	z	Spanish	ML	677	Eng	CS
A330	BE_05	Block1	Stim32	CSES	English	z	Spanish	ML	368	Eng	CS
A361	BE_05	Block2	Stim01	CSES	English	z	Spanish	ML	827	Eng	CS
A362	BE_05	Block2	Stim17	CSES	English	z	Spanish	ML	3063	Eng	CS
A363	BE_05	Block2	Stim02	CSES	English	z	Spanish	ML	400	Eng	CS
A364	BE_05	Block2	Stim21	CSES	English	z	Spanish	ML	577	Eng	CS
A365	BE_05	Block2	Stim26	CSES	English	z	Spanish	ML	487	Eng	CS
A366	BE_05	Block2	Stim27	CSES	English	z	Spanish	ML	1936	Eng	CS
A368	BE_05	Block2	Stim29	CSES	English	z	Spanish	ML	1215	Eng	CS
A369	BE_05	Block2	Stim03	CSES	English	z	Spanish	ML	354	Eng	CS
A370	BE_05	Block2	Stim32	CSES	English	z	Spanish	ML	608	Eng	CS
A401	BE_05	Block3	Stim01	CSES	English	z	Spanish	ML	295	Eng	CS
A402	BE_05	Block3	Stim17	CSES	English	z	Spanish	ML	3935	Eng	CS
A403	BE_05	Block3	Stim02	CSES	English	z	Spanish	ML	283	Eng	CS
A404	BE_05	Block3	Stim21	CSES	English	z	Spanish	ML	862	Eng	CS
A405	BE_05	Block3	Stim26	CSES	English	z	Spanish	ML	934	Eng	CS
A406	BE_05	Block3	Stim27	CSES	English	z	Spanish	ML	1510	Eng	CS
A407	BE_05	Block3	Stim28	CSES	English	z	Spanish	ML	330	Eng	CS
A408	BE_05	Block3	Stim29	CSES	English	z	Spanish	ML	1396	Eng	CS
